"text";"created";"screenName"
"@denilsonrdgs Rapaz você pode postar o que quiser, a Instituição Fluminense não é só um clube, é a História do fute… https://t.co/RvUGY9plGg";2019-12-17 23:59:53;"Renny1972"
"tenho dó de gente que vem discutir de futebol COMIGO <U+0001F971><U+0001F971>";2019-12-17 23:59:51;"a_palestrina_"
"@phfernandes Quais mais jogadores que entorpecem o mundo com seu futebol?";2019-12-17 23:59:50;"OakBrunoMello"
"Será que eu sou a única namorada que não liga do namorado ir ao futebol, Tomar uma cerveja com os amigos etc...?? e… https://t.co/zizKGsrjj3";2019-12-17 23:59:45;"EuLais_souza"
"@EmersonCruzM @luizcrvg5 @sulamericana SporTV ou na pagina do globo esporte

https://t.co/TdfNgO5Tun";2019-12-17 23:59:38;"rodrigocruzmar"
"@Iron_fall Acha que caso ocorra a saída, Mattos pode voltar pra assumir o futebol?";2019-12-17 23:59:36;"MuriloMatos_18"
"E jogarem futebol se quiserem. 

Cara qual é o preconceito de uma mulher andar de skate, n pergunto pro os homems s… https://t.co/jejOJ8f5KA";2019-12-17 23:59:35;"tay_gabrielle_"
"#NaoDaMais pra viver en uma sociedade, q em plemo século 21; pleno 2020 batendo na porta, e ainda escutar: skate n… https://t.co/PLyze37L2k";2019-12-17 23:59:34;"tay_gabrielle_"
"Eu AMO trabalhar com futebol, mas tem umas situações q são tão insuportáveis qnd vc é mulher no meio de homem q desanima";2019-12-17 23:59:31;"Barrosolari"
"@boliviazica O Corinthians nunca teve um atacante com longevidade desde quando comecei a acompanhar futebol! Mas pe… https://t.co/cJfdOBnrmG";2019-12-17 23:59:28;"Pedrin_civil"
"@Jiraya50993271 @FoxSportsBrasil Esse tá por dentro do futebol mesmo";2019-12-17 23:59:23;"igbrdo"
"Futebol - Mundial Interclubes Semifinal:Flamengo 3 x 1 Al-Hilal, o Mengão começou perdendo mas acabou virando por 3… https://t.co/6MpTaen2wH";2019-12-17 23:59:16;"Denishits"
